date,initial claim
2010-01-02,651215
2010-01-09,825891
2010-01-16,659173
2010-01-23,507651
2010-01-30,538617
2010-02-06,512463
2010-02-13,482078
2010-02-20,458160
2010-02-27,474662
2010-03-06,462679
2010-03-13,439061
2010-03-20,413067
2010-03-27,412710
2010-04-03,421130
2010-04-10,514136
2010-04-17,436814
2010-04-24,429196
2010-05-01,399350
2010-05-08,414327
2010-05-15,414572
2010-05-22,410778
2010-05-29,418873
2010-06-05,398864
2010-06-12,448305
2010-06-19,427080
2010-06-26,444712
2010-07-03,470366
2010-07-10,515991
2010-07-17,502065
2010-07-24,413679
2010-07-31,402140
2010-08-07,425471
2010-08-14,405484
2010-08-21,384955
2010-08-28,383135
2010-09-04,381863
2010-09-11,341791
2010-09-18,382341
2010-09-25,372551
2010-10-02,373681
2010-10-09,462667
2010-10-16,394016
2010-10-23,408489
2010-10-30,421097
2010-11-06,452657
2010-11-13,409548
2010-11-20,464817
2010-11-27,412922
2010-12-04,585711
2010-12-11,491776
2010-12-18,495548
2010-12-25,525710
2011-01-01,578904
2011-01-08,773499
2011-01-15,549688
2011-01-22,485950
2011-01-29,464775
2011-02-05,440706
2011-02-12,424400
2011-02-19,380985
2011-02-26,353797
2011-03-05,407299
2011-03-12,371721
2011-03-19,354457
2011-03-26,357457
2011-04-02,353817
2011-04-09,448029
2011-04-16,381834
2011-04-23,387867
2011-04-30,415974
2011-05-07,397737
2011-05-14,361573
2011-05-21,376632
2011-05-28,381497
2011-06-04,366816
2011-06-11,400608
2011-06-18,394286
2011-06-25,406633
2011-07-02,425640
2011-07-09,473963
2011-07-16,470086
2011-07-23,369207
2011-07-30,341103
2011-08-06,354408
2011-08-13,346014
2011-08-20,344870
2011-08-27,336761
2011-09-03,348582
2011-09-10,328868
2011-09-17,353820
2011-09-24,328073
2011-10-01,332394
2011-10-08,405906
2011-10-15,357562
2011-10-22,377156
2011-10-29,369647
2011-11-05,402532
2011-11-12,363016
2011-11-19,440157
2011-11-26,372640
2011-12-03,528793
2011-12-10,435863
2011-12-17,421103
2011-12-24,497689
2011-12-31,540057
2012-01-07,646219
2012-01-14,525422
2012-01-21,416880
2012-01-28,422287
2012-02-04,401365
2012-02-11,365014
2012-02-18,346659
2012-02-25,334242
2012-03-03,368433
2012-03-10,340102
2012-03-17,319498
2012-03-24,323373
2012-03-31,315800
2012-04-07,390064
2012-04-14,370482
2012-04-21,370632
2012-04-28,333476
2012-05-05,341080
2012-05-12,325094
2012-05-19,330427
2012-05-26,346260
2012-06-02,324385
2012-06-09,376610
2012-06-16,364548
2012-06-23,370521
2012-06-30,369826
2012-07-07,442192
2012-07-14,455260
2012-07-21,340780
2012-07-28,312931
2012-08-04,320219
2012-08-11,317680
2012-08-18,311857
2012-08-25,312542
2012-09-01,309537
2012-09-08,299729
2012-09-15,330454
2012-09-22,303685
2012-09-29,301046
2012-10-06,329925
2012-10-13,362730
2012-10-20,345227
2012-10-27,339924
2012-11-03,361823
2012-11-10,478551
2012-11-17,403636
2012-11-24,358865
2012-12-01,500163
2012-12-08,429191
2012-12-15,401431
2012-12-22,457584
2012-12-29,490126
2013-01-05,557424
2013-01-12,558047
2013-01-19,437360
2013-01-26,369567
2013-02-02,388708
2013-02-09,361759
2013-02-16,351087
2013-02-23,310512
2013-03-02,335794
2013-03-09,317661
2013-03-16,301471
2013-03-23,316133
2013-03-30,317494
2013-04-06,356935
2013-04-13,359415
2013-04-20,326264
2013-04-27,301622
2013-05-04,301602
2013-05-11,320253
2013-05-18,303357
2013-05-25,319508
2013-06-01,294608
2013-06-08,332964
2013-06-15,336970
2013-06-22,336901
2013-06-29,335424
2013-07-06,383811
2013-07-13,410974
2013-07-20,340457
2013-07-27,281692
2013-08-03,288861
2013-08-10,282756
2013-08-17,281164
2013-08-24,279803
2013-08-31,269359
2013-09-07,229648
2013-09-14,272946
2013-09-21,255087
2013-09-28,252196
2013-10-05,335937
2013-10-12,360957
2013-10-19,312037
2013-10-26,325326
2013-11-02,331867
2013-11-09,364167
2013-11-16,327053
2013-11-23,369197
2013-11-30,321896
2013-12-07,463413
2013-12-14,414613
2013-12-21,418272
2013-12-28,452664
2014-01-04,488537
2014-01-11,534966
2014-01-18,416116
2014-01-25,357806
2014-02-01,357742
2014-02-08,360338
2014-02-15,322761
2014-02-22,312665
2014-03-01,317832
2014-03-08,302311
2014-03-15,285970
2014-03-22,274072
2014-03-29,294862
2014-04-05,299162
2014-04-12,318793
2014-04-19,299182
2014-04-26,318127
2014-05-03,288748
2014-05-10,270738
2014-05-17,287398
2014-05-24,275412
2014-05-31,264133
2014-06-07,313371
2014-06-14,301195
2014-06-21,305029
2014-06-28,305791
2014-07-05,322753
2014-07-12,370559
2014-07-19,287049
2014-07-26,257625
2014-08-02,247877
2014-08-09,269468
2014-08-16,249463
2014-08-23,249006
2014-08-30,249780
2014-09-06,234755
2014-09-13,242318
2014-09-20,239780
2014-09-27,227571
2014-10-04,257545
2014-10-11,273756
2014-10-18,256166
2014-10-25,271331
2014-11-01,266921
2014-11-08,309338
2014-11-15,286115
2014-11-22,357202
2014-11-29,294389
2014-12-06,389284
2014-12-13,327827
2014-12-20,340827
2014-12-27,389757
2015-01-03,439342
2015-01-10,529685
2015-01-17,383538
2015-01-24,281885
2015-01-31,306643
2015-02-07,324158
2015-02-14,277904
2015-02-21,280639
2015-02-28,315566
2015-03-07,277925
2015-03-14,260242
2015-03-21,248032
2015-03-28,239748
2015-04-04,253533
2015-04-11,308173
2015-04-18,279797
2015-04-25,250780
2015-05-02,236421
2015-05-09,242882
2015-05-16,243612
2015-05-23,253454
2015-05-30,230676
2015-06-06,275619
2015-06-13,258764
2015-06-20,263199
2015-06-27,274646
2015-07-04,303585
2015-07-11,344471
2015-07-18,262949
2015-07-25,230314
2015-08-01,224104
2015-08-08,239326
2015-08-15,229251
2015-08-22,226649
2015-08-29,230079
2015-09-05,232507
2015-09-12,198903
2015-09-19,219342
2015-09-26,215116
2015-10-03,227176
2015-10-10,256522
2015-10-17,232860
2015-10-24,245365
2015-10-31,258440
2015-11-07,291098
2015-11-14,264816
2015-11-21,305424
2015-11-28,262628
2015-12-05,384491
2015-12-12,313276
2015-12-19,319641
2015-12-26,346542
2016-01-02,405368
2016-01-09,502904
2016-01-16,378747
2016-01-23,295936
2016-01-30,311940
2016-02-06,290796
2016-02-13,258380
2016-02-20,248870
2016-02-27,265802
2016-03-05,247628
2016-03-12,236888
2016-03-19,230882
2016-03-26,235716
2016-04-02,245035
2016-04-09,270419
2016-04-16,242400
2016-04-23,245040
2016-04-30,243392
2016-05-07,261899
2016-05-14,244869
2016-05-21,240798
2016-05-28,246740
2016-06-04,232300
2016-06-11,266277
2016-06-18,247968
2016-06-25,263662
2016-07-02,267437
2016-07-09,298673
2016-07-16,268526
2016-07-23,231925
2016-07-30,219202
2016-08-06,231542
2016-08-13,219570
2016-08-20,217011
2016-08-27,215688
2016-09-03,217715
2016-09-10,193291
2016-09-17,205649
2016-09-24,198455
2016-10-01,200456
2016-10-08,238581
2016-10-15,233633
2016-10-22,237314
2016-10-29,245751
2016-11-05,258608
2016-11-12,223770
2016-11-19,287794
2016-11-26,249774
2016-12-03,351580
2016-12-10,305268
2016-12-17,315068
2016-12-24,343213
2016-12-31,350561
2017-01-07,414742
2017-01-14,352799
2017-01-21,284030
2017-01-28,280983
2017-02-04,259713
2017-02-11,245886
2017-02-18,239322
2017-02-25,212829
2017-03-04,243959
2017-03-11,222227
2017-03-18,224693
2017-03-25,228269
2017-04-01,208347
2017-04-08,239823
2017-04-15,225864
2017-04-22,241611
2017-04-29,210955
2017-05-06,215040
2017-05-13,206905
2017-05-20,210544
2017-05-27,232138
2017-06-03,212696
2017-06-10,234652
2017-06-17,228883
2017-06-24,239635
2017-07-01,252886
2017-07-08,284329
2017-07-15,257763
2017-07-22,220455
2017-07-29,198776
2017-08-05,211924
2017-08-12,198280
2017-08-19,195130
2017-08-26,196227
2017-09-02,250627
2017-09-09,211923
2017-09-16,212313
2017-09-23,212987
2017-09-30,204180
2017-10-07,229241
2017-10-14,205592
2017-10-21,216004
2017-10-28,215977
2017-11-04,242111
2017-11-11,236654
2017-11-18,275004
2017-11-25,224851
2017-12-02,326052
2017-12-09,282055
2017-12-16,287479
2017-12-23,325180
2017-12-30,351500
2018-01-06,403930
2018-01-13,354708
2018-01-20,260432
2018-01-27,268197
2018-02-03,243422
2018-02-10,233252
2018-02-17,212609
2018-02-24,196294
2018-03-03,225893
2018-03-10,205185
2018-03-17,198649
2018-03-24,195433
2018-03-31,201057
2018-04-07,231759
2018-04-14,226090
2018-04-21,200139
2018-04-28,186451
2018-05-05,190262
2018-05-12,195214
2018-05-19,207043
2018-05-26,202846
2018-06-02,191523
2018-06-09,217289
2018-06-16,206023
2018-06-23,222766
2018-06-30,231539
2018-07-07,264869
2018-07-14,232238
2018-07-21,201288
2018-07-28,179880
2018-08-04,185174
2018-08-11,180038
2018-08-18,173331
2018-08-25,175745
2018-09-01,173607
2018-09-08,162640
2018-09-15,173624
2018-09-22,172930
2018-09-29,171816
2018-10-06,193936
2018-10-13,190501
2018-10-20,198733
2018-10-27,198530
2018-11-03,214814
2018-11-10,235981
2018-11-17,226576
2018-11-24,218658
2018-12-01,317936
2018-12-08,261525
2018-12-15,255195
2018-12-22,291625
2018-12-29,327501
2019-01-05,350949
2019-01-12,344479
2019-01-19,269757
2019-01-26,250821
2019-02-02,254336
2019-02-09,242817
2019-02-16,210718
2019-02-23,203091
2019-03-02,220583
2019-03-09,209362
2019-03-16,194382
2019-03-23,190075
2019-03-30,183801
2019-04-06,196103
2019-04-13,196397
2019-04-20,211794
2019-04-27,204787
2019-05-04,204033
2019-05-11,188264
2019-05-18,191931
2019-05-25,199094
2019-06-01,189577
2019-06-08,220186
2019-06-15,205919
2019-06-22,225819
2019-06-29,224565
2019-07-06,231993
2019-07-13,243619
